ПФМ;Название;4;5
D37004;АдмСерв (Прионежс;;
D37005;ГО и ЧС (Прионежс;;
D37006;Ремонт (Прионежск;;
D37007;Экспл.ТЭ (Прионеж;;
D37008;Произв (Прионежск;;
D37009;Метролог (Прионеж;;
D37010;СбытТЭ (Прионежск;;
D37011;СбытЭЭ (Прионежск;;
D37012;КорЗащ (Прионежск;;
D37013;ОплТруда (Прионеж;;
D37014;ПодгКадр (Прионеж;;
D37015;Соц-труд (Прионеж;;
D37016;РесуОб (Прионежск;;
D37017;СкладЛог (Прионеж;;
D37018;Трансп (Прионежск;;
D37019;Эконом (Прионежск;;
D37020;УпрИмущ (Прионежс;;
D37021;Финансы (Прионежс;;
D37022;Бухгалт (Прионежс;;
D37023;Развитие (Прионеж;;
D37024;КапСтрой (Прионеж;;
D37025;Технический(Прионежс;;
D380;Пряжинский район;;
D38001;Апп. ГД (Пряжинск;;
D38002;ПравВопр (Пряжинс;;
D38003;СвязОбщ (Пряжинск;;
D38004;АдмСерв (Пряжинск;;
D38005;ГО и ЧС (Пряжинск;;
D38006;Ремонт (Пряжинск.;;
D38007;Экспл.ТЭ (Пряжинс;;
D38008;Произв (Пряжинск.;;
D38009;Метролог (Пряжинс;;
D38010;СбытТЭ (Пряжинск.;;
D38011;СбытЭЭ (Пряжинск.;;
D38012;КорЗащ (Пряжинск.;;
D38013;ОплТруда (Пряжинс;;
D38014;ПодгКадр (Пряжинс;;
D38015;Соц-труд (Пряжинс;;
D38016;РесуОб (Пряжинск.;;
D38017;СкладЛог (Пряжинс;;
D38018;Трансп (Пряжинск.;;
D38019;Эконом (Пряжинск.;;
D38020;УпрИмущ (Пряжинск;;
D38021;Финансы (Пряжинск;;
D38022;Бухгалт (Пряжинск;;
D38023;Развитие (Пряжинс;;
D38024;КапСтрой (Пряжинс;;
D38025;Технический(Пряжинск;;
D400;Кольский;;
D40001;Апп. ГД(Кольский);;
D40002;ПравВопр(Кольский);;
D40003;СвязОбщ.(Кольский);;
D40004;АдмСерв(Кольский);;
D40005;ГО и ЧС(Кольский);;
D40006;Ремонт.(Кольский);;
D40007;Эксплуат.(Кольский);;
D40008;Произв.(Кольский);;
D40009;Метролог(Кольский);;
D40010;СбытТЭ(Кольский);;
D40011;СбытЭЭ(Кольский);;
D40012;КорпЗащит(Кольский);;
D40013;ОплТруда(Кольский);;
D40014;ПодгКадр(Кольский);;
D40015;Соц-труд(Кольский);;
D40016;Ресурсооб(Кольский);;
D40017;СкладЛог(Кольский);;
D40018;Транспорт(Кольский);;
D40019;Эконом. (Кольский);;
D40020;УпрИмущ(Кольский);;
D40021;Финансы(Кольский);;
D40022;Бухгалт.(Кольский);;
D40023;Развитие(Кольский);;
D40024;КапСтрой(Кольский);;
D40025;Тех(Кольский);;
D420;Каскад Нивских ГЭС;;
D42001;Апп. ГД(НивскиеГЭС);;
D42002;ПравВопр(НивскиеГЭС);;
D42003;СвязОбщ.(НивскиеГЭС);;
D42004;АдмСерв(НивскиеГЭС);;
D42005;ГО и ЧС(НивскиеГЭС);;
D42006;Ремонт.(НивскиеГЭС);;
D42007;Эксплуат.(НивскиеГЭС;;
D42008;Произв.(НивскиеГЭС);;
D42009;Метролог(НивскиеГЭС);;
D42010;СбытТЭ(НивскиеГЭС);;
D42011;СбытЭЭ(НивскиеГЭС);;
D42012;КорпЗащит(НивскиеГЭС;;
D42013;ОплТруда(НивскиеГЭС);;
D42014;ПодгКадр(НивскиеГЭС);;
D42015;Соц-труд(НивскиеГЭС);;
D42016;Ресурсооб(НивскиеГЭС;;
D42017;СкладЛог(НивскиеГЭС);;
D42018;Транспорт(НивскиеГЭС;;
D42019;Эконом. (НивскиеГЭС);;
D42020;УпрИмущ(НивскиеГЭС);;
D42021;Финансы(НивскиеГЭС);;
D42022;Бухгалт.(НивскиеГЭС);;
D42023;Развитие(НивскиеГЭС);;
